Item_name,Warranty Period(Years),Screen Size,Cpu,Ram,Gpu,OpSys,Weight,Price,Label of Model,Label number,Category
Lenovo V110-15ISK (i5-6200U/4GB/128GB/W10) Notebook,1,15.6,B,4,R,WI,2.1,38227,New Inspiron 15 3584 Laptop,4,Student
HP Chromebook X360 2 in 1 Convertible,1,11.6,A,8,P,CH,1.4,38382,New Inspiron 15 3584 Laptop,4,Student
Toshiba Satellite Pro Notebook,3,15.6,A,4,Q,WI,2.1,38615,New Inspiron 15 3584 Laptop,4,Student
Lenovo V110-15IKB (i5-20U/4GB/128GB/W10) Notebook,1,15.6,B,4,R,WI,1.9,38615,New Inspiron 15 3584 Laptop,4,Student
Dell Inspiron 3567 Notebook,1,15.6,A,4,Q,WI,3.2,38685,New Inspiron 15 3584 Laptop,4,Student
Toshiba Satellite Pro Notebook,3,14,A,4,Q,WI,1.75,38692,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 320-15ISK Notebook,1,15.6,A,8,Q,NO,2.2,38692,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 320-15IKBN Notebook,1,15.6,B,4,Q,NO,2.2,38692,New Inspiron 15 3584 Laptop,4,Student
HP 15-BW004nv (A9-9420/4GB/256GB/Radeon Ultrabook,1,15.6,B,4,Q,WI,1.91,38692,New Inspiron 15 3584 Laptop,4,Student
HP 15-bs005nv (i3-6006U/4GB/1TB Notebook,2,15.6,A,4,Q,WI,2.1,38692,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 310-15ABR Notebook,1,15.6,B,6,Q,WI,2.4,38692,New Inspiron 15 3584 Laptop,4,Student
Acer Aspire E5-575 Notebook,2,15.6,B,4,Q,WI,2.4,38692,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 320-15IKB Notebook,1,15.6,B,8,R,NO,2.2,38692,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 320-15ISK Notebook,1,15.6,A,4,R,WI,2.2,38692,New Inspiron 15 3584 Laptop,4,Student
Asus VivoBook S14 Notebook,1,14,B,4,R,WI,1.3,39468,New Inspiron 15 3584 Laptop,4,Student
Asus VivoBook Max Notebook,1,15.6,B,4,Q,LI,2.1,40243,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 320-15IKBN Notebook,3,15.6,B,8,Q,NO,2.2,40243,New Inspiron 15 3584 Laptop,4,Student
Lenovo IdeaPad 320-15AST Notebook,1,17.3,A,8,Q,WI,2.8,40243,New Inspiron 15 3584 Laptop,4,Student
HP 17-AK091ND (A9-9420/8GB/1TB/W10) Notebook,1,17,B,8,Q,WI,2.6,40391,New Inspiron 15 3584 Laptop,4,Student
HP 15-bs190od (i5-8250U/4GB/1TB/W10) Notebook,1,15.6,B,4,Q,WI,2.04,40435,New Inspiron 15 3584 Laptop,4,Student
Asus X542UQ-GO005 (i5-20U/8GB/1TB/GeForce Notebook,1,15.6,B,8,R,LI,2.3,40553,Dell Vostro 15 3578 (A553109WIN9) Laptop ,5,Executive
Lenovo V320-17ISK (i3-6006U/4GB/500GB/FHD/No Notebook,1,17.3,A,4,R,NO,2.8,41019,Dell Vostro 15 3578 (A553109WIN9) Laptop ,5,Executive
Acer Aspire A515-51G-32MX Notebook,1,15.6,B,4,Q,WI,2.2,41096,Dell Vostro 15 3578 (A553109WIN9) Laptop ,5,Executive
Asus X751SV-TY001T (N3710/4GB/1TB/GeForce Notebook,1,17.3,A,4,Q,WI,2.8,41096,Dell Vostro 15 3578 (A553109WIN9) Laptop ,5,Executive
Lenovo IdeaPad 320-15ISK Notebook,3,15.6,B,4,R,WI,2.2,41484,Dell Vostro 15 3578 (A553109WIN9) Laptop ,5,Executive
HP 15-ay047nv (i3-6006U/6GB/1TB/Radeon Notebook,3,15.6,A,6,Q,WI,2.04,41794,Dell Vostro 15 3578 (A553109WIN9) Laptop ,5,Executive
HP 250 G6 Notebook,1,15.6,A,8,R,WI,1.86,41794,Dell Vostro 15 3578 (A553109WIN9) Laptop ,5,Executive
Dell Inspiron 3567 Notebook,1,15.6,B,8,R,WI,2.14,41868,Dell Vostro 15 3578 (A553109WIN9) Laptop ,5,Executive
Acer Aspire E5-576G Notebook,1,15.6,A,4,R,WI,2.23,42182,Dell Vostro 15 3578 (A553109WIN9) Laptop ,5,Executive
HP 17-X047na (i3-6006U/8GB/1TB/W10) Notebook,1,17.3,A,8,R,WI,2.65,42193,Dell Vostro 15 3578 (A553109WIN9) Laptop ,5,Executive
